"case_name","location","occurance_date","fatalities","injured","total_victims","location_type","age_of_shooter","prior_signs_mental_health_issues","weapons_obtained_legally","race","gender","latitude","longitude","type","state","year"
"University of Virginia shooting","Charlottesville, Virginia","2022-11-13",3,2,5,"School",22,"tbd","yes","Black","Male",NULL,NULL,"Mass"," Virginia",2022
"Greenwood Park Mall shooting","Greenwood, Indiana","2022-07-17",3,2,5,"Workplace",20,"tbd","yes","White","Male",NULL,NULL,"Mass"," Indiana",2022
"Highland Park July 4 parade shooting","Highland Park, Illinois","2022-07-04",7,46,53,"Other",21,"tbd","yes","White","Male",NULL,NULL,"Mass"," Illinois",2022
"Church potluck dinner shooting","Birmingham, Alabama","2022-06-16",3,0,3,"Religious",70,"tbd","yes","White","Male",NULL,NULL,"Mass"," Alabama",2022
"FedEx warehouse shooting","Indianapolis, Indiana","2021-04-15",8,7,15,"Workplace",19,"yes","yes","White","Male",39.68663,-86.32313,"Mass"," Indiana",2021
"LA dance studio mass shooting","Monterey Park, California","2023-01-21",11,10,21,"Other",72,"yes","tbd","Asian","Male",NULL,NULL,"Mass"," California",2023
"Michigan State University shooting","East Lansing, Michigan","2023-02-13",3,5,8,"School",43,"tbd","tbd","Black","Male",NULL,NULL,"Spree"," Michigan",2023
"Half Moon Bay spree shooting","Half Moon Bay, California","2023-01-23",7,1,8,"Workplace",67,"tbd","tbd","Asian","Male",NULL,NULL,"Spree"," California",2023
"Virginia Walmart shooting","Chesapeake, Virginia","2022-11-22",6,6,12,"Workplace",31,"tbd","tbd","Black","Male",NULL,NULL,"Mass"," Virginia",2022
"Raleigh spree shooting","Hedingham, North Carolina","2022-10-13",5,2,7,"Other",15,"tbd","tbd","White","Male",NULL,NULL,"Spree"," North Carolina",2022
"Concrete company shooting","Smithsburg, Maryland","2022-06-09",3,1,4,"Workplace",23,"tbd","tbd",NULL,"Male",NULL,NULL,"Mass"," Maryland",2022
"San Jose VTA shooting","San Jose, California","2021-05-26",9,0,9,"Workplace",57,"yes","tbd",NULL,"Male",37.316097,-121.888533,"Mass"," California",2021
"Chuck E. Cheese's killings","Aurora, Colorado","1993-12-14",4,1,5,"Workplace",19,"tbd","tbd","Black","Both",39.675599,-104.844845,"Mass"," Colorado",1993
"Stockton schoolyard shooting","Stockton, California","1989-01-17",6,29,35,"School",26,"yes","yes","White","Both",37.9577016,-121.2907796,"Mass"," California",1989
"Dayton entertainment district shooting","Dayton, Ohio","2019-08-04",9,27,36,"Other",24,"tbd","yes","White","Male",39.757312,-84.184947,"Mass"," Ohio",2019
"ESL shooting","Sunnyvale, California","1988-02-16",7,4,11,"Workplace",39,"yes","yes","White","Both",37.3688301,-122.0363496,"Mass"," California",1988
